Symbol	Name	PharmGKB Accession Id	NCBI Gene ID	HGNC ID	Ensembl Id	Chromosome	Chromosomal Start - GRCh37	Chromosomal Stop - GRCh37	Chromosomal Start - GRCh38	Chromosomal Stop - GRCh38
CBFA2T2	CBFA2/RUNX1 translocation partner 2	PA26112	9139	HGNC:1536	ENSG00000078699	chr20	32077928	32237837	33490068	33650031
CBFA2T3	CBFA2/RUNX1 translocation partner 3	PA26113	863	HGNC:1537	ENSG00000129993	chr16	88941263	89043568	88874855	88977198
CBFB	core-binding factor subunit beta	PA26114	865	HGNC:1539	ENSG00000067955	chr16	67063050	67134961	67029147	67101058
CBL	Cbl proto-oncogene	PA26115	867	HGNC:1541	ENSG00000110395	chr11	119076986	119178859	119206276	119308149
CBLB	Cbl proto-oncogene B	PA26116	868	HGNC:1542	ENSG00000114423	chr3	105374306	105589354	105655461	105869552
CBLC	Cbl proto-oncogene C	PA26117	23624	HGNC:15961	ENSG00000142273	chr19	45281126	45303903	44777855	44800646
CBLIF	cobalamin binding intrinsic factor	PA28678	2694	HGNC:4268	ENSG00000134812	chr11	59596746	59612974	59829268	59845529
CBLL1	Cbl proto-oncogene like 1	PA134960329	79872	HGNC:21225	ENSG00000105879	chr7	107383942	107402112	107743497	107764997
CBLL2	Cbl proto-oncogene like 2	PA134934025	158506	HGNC:26371	ENSG00000175809	chrX	22291030	22292578	22272913	22274461
CBLN1	cerebellin 1 precursor	PA26118	869	HGNC:1543	ENSG00000102924	chr16	49311828	49315742	49277917	49281831
CBLN2	cerebellin 2 precursor	PA26119	147381	HGNC:1544	ENSG00000141668	chr18	70203915	70211723	72533720	72638485
CBLN3	cerebellin 3 precursor	PA134885212	643866	HGNC:20146	ENSG00000139899	chr14	24895738	24898731	24426532	24429525
CBLN4	cerebellin 4 precursor	PA26120	140689	HGNC:16231	ENSG00000054803	chr20	54572413	54580528	55997357	56005472
CBR1	carbonyl reductase 1	PA26121	873	HGNC:1548	ENSG00000159228	chr21	37442285	37445462	36069924	36073177
CBR3	carbonyl reductase 3	PA26122	874	HGNC:1549	ENSG00000159231	chr21	37506614	37518860	36134901	36146562
CBR4	carbonyl reductase 4	PA144596471	84869	HGNC:25891	ENSG00000145439	chr4	169815774	169931468	168894484	169010317
CBS	cystathionine-beta-synthase	PA26123	875	HGNC:1550	ENSG00000160200	chr21	44473301	44496472	43053190	43076868
CBWD1	COBW domain containing 1	PA26124	55871	HGNC:17134	ENSG00000172785	chr9	121038	179077	121038	179083
CBWD2	COBW domain containing 2	PA26125	150472	HGNC:17907	"ENSG00000136682,""ENSG00000172785"""	chr2	114195268	114253781	113437691	113496204
CBWD3	COBW domain containing 3	PA134863724	445571	HGNC:18519	ENSG00000196873	chr9	70856839	70914932	68232437	68300035
CBWD4P	COBW domain containing 4 pseudogene	PA134953736	653510	HGNC:18520		chr9	70181086	70214885	65287480	65321282
CBWD5	COBW domain containing 5	PA142672196	220869	HGNC:24584	ENSG00000147996	chr9	70432004	70490171	65666374	65734041
CBWD6	COBW domain containing 6	PA145149332	644019	HGNC:31978	ENSG00000204790	chr9	69204538	69262593	41131309	41198865
CBX1	chromobox 1	PA26126	10951	HGNC:1551	ENSG00000108468	chr17	46147414	46178883	48070052	48101521
CBX2	chromobox 2	PA26127	84733	HGNC:1552	ENSG00000173894	chr17	77751977	77761449	79776254	79787650
CBX3	chromobox 3	PA26128	11335	HGNC:1553	ENSG00000122565	chr7	26240831	26253227	26201211	26213607
CBX4	chromobox 4	PA26129	8535	HGNC:1554	ENSG00000141582	chr17	77806955	77813222	79833156	79839414
CBX5	chromobox 5	PA26130	23468	HGNC:1555	ENSG00000094916	chr12	54624730	54673915	54230946	54280131
CBX6	chromobox 6	PA26131	23466	HGNC:1556	ENSG00000183741	chr22	39257468	39268258	38861427	38872334
CBX7	chromobox 7	PA26132	23492	HGNC:1557	ENSG00000100307	chr22	39526777	39548661	39130772	39152661
CBX8	chromobox 8	PA26133	57332	HGNC:15962	ENSG00000141570	chr17	77768176	77770915	79794377	79797116
CBY1	chibby family member 1, beta catenin antagonist	PA25886	25776	HGNC:1307	ENSG00000100211	chr22	39052658	39069859	38656653	38673850
CBY3	chibby family member 3	PA162381185	646019	HGNC:33278	ENSG00000204659	chr5	179105559	179107975	179677969	179681830
CC2D1A	coiled-coil and C2 domain containing 1A	PA142672197	54862	HGNC:30237	ENSG00000132024	chr19	14016956	14041693	13906143	13930880
CC2D1B	coiled-coil and C2 domain containing 1B	PA142672198	200014	HGNC:29386	ENSG00000154222	chr1	52816265	52831877	52348437	52366291
CC2D2A	coiled-coil and C2 domain containing 2A	PA162381194	57545	HGNC:29253	ENSG00000048342	chr4	15471489	15603594	15468660	15601971
CC2D2B	coiled-coil and C2 domain containing 2B	PA162381273	387707	HGNC:31666	ENSG00000188649	chr10	97721331	97793496	95974029	96035167
CCAR1	cell division cycle and apoptosis regulator 1	PA134920227	55749	HGNC:24236	ENSG00000060339	chr10	70480956	70552134	68721144	68792377
CCAR2	cell cycle and apoptosis regulator 2	PA134993792	57805	HGNC:23360	ENSG00000158941	chr8	22462145	22477984	22604632	22620471
CCBE1	collagen and calcium binding EGF domains 1	PA134880094	147372	HGNC:29426	ENSG00000183287	chr18	57098171	57364860	59430939	59698181
CCDC102A	coiled-coil domain containing 102A	PA144596469	92922	HGNC:28097	ENSG00000135736	chr16	57546090	57570477	57512178	57538305
CCDC102B	coiled-coil domain containing 102B	PA134948675	79839	HGNC:26295	ENSG00000150636	chr18	66382466	66756517	68715221	69214350
CCDC103	coiled-coil domain containing 103	PA145008596	388389	HGNC:32700	ENSG00000167131	chr17	42977080	42983541	44899712	44903679
CCDC105	coiled-coil domain containing 105	PA145008634	126402	HGNC:26866	ENSG00000160994	chr19	15121539	15134083	15010727	15023271
CCDC106	coiled-coil domain containing 106	PA145008652	29903	HGNC:30181	ENSG00000173581	chr19	56158934	56164527	55647588	55653161
CCDC107	coiled-coil domain containing 107	PA145008668	203260	HGNC:28465	ENSG00000159884	chr9	35658279	35661500	35658282	35661503
CCDC110	coiled-coil domain containing 110	PA162381283	256309	HGNC:28504	ENSG00000168491	chr4	186366336	186392913	185445182	185471759
CCDC112	coiled-coil domain containing 112	PA145008783	153733	HGNC:28599	ENSG00000164221	chr5	114602885	114632458	115267188	115296761
CCDC113	coiled-coil domain containing 113	PA145149245	29070	HGNC:25002	ENSG00000103021	chr16	58283840	58317740	58196863	58283836
CCDC115	coiled-coil domain containing 115	PA145149287	84317	HGNC:28178	ENSG00000136710	chr2	131095814	131100383	130337933	130342681
CCDC116	coiled-coil domain containing 116	PA145149301	164592	HGNC:26688	ENSG00000161180	chr22	21987086	21991616	21632121	21637327
CCDC117	coiled-coil domain containing 117	PA145149315	150275	HGNC:26599	ENSG00000159873	chr22	29168662	29185283	28772674	28789301
CCDC12	coiled-coil domain containing 12	PA134970849	151903	HGNC:28332	ENSG00000160799	chr3	46963220	47023500	46917905	46982031
CCDC120	coiled-coil domain containing 120	PA145149329	90060	HGNC:28910	ENSG00000147144	chrX	48910961	48927510	49053432	49069858
CCDC121	coiled-coil domain containing 121	PA147358222	79635	HGNC:25833	ENSG00000176714	chr2	27848408	27851898	27625638	27629031
CCDC122	coiled-coil domain containing 122	PA147358230	160857	HGNC:26478	ENSG00000151773	chr13	44410488	44453826	43821959	43879690
CCDC124	coiled-coil domain containing 124	PA147358292	115098	HGNC:25171	ENSG00000007080	chr19	18043824	18054794	17933015	17943985
CCDC125	coiled-coil domain containing 125	PA147358306	202243	HGNC:28924	ENSG00000183323	chr5	68576519	68628623	69273087	69333069
CCDC126	coiled-coil domain containing 126	PA162381284	90693	HGNC:22398	ENSG00000169193	chr7	23636998	23684327	23597333	23644708
CCDC127	coiled-coil domain containing 127	PA162381297	133957	HGNC:30520	ENSG00000164366	chr5	204875	218333	204760	218182
CCDC13	coiled-coil domain containing 13	PA134974073	152206	HGNC:26358	ENSG00000244607	chr3	42749764	42814745	42704118	42773253
CCDC134	coiled-coil domain containing 134	PA162381361	79879	HGNC:26185	ENSG00000100147	chr22	42196636	42228175	41800610	41832164
CCDC136	coiled-coil domain containing 136	PA162381381	64753	HGNC:22225	ENSG00000128596	chr7	128431464	128462187	128791410	128822133
CCDC137	coiled-coil domain containing 137	PA162381422	339230	HGNC:33451	ENSG00000185298	chr17	79633761	79640937	81666697	81673907
CCDC138	coiled-coil domain containing 138	PA162381439	165055	HGNC:26531	ENSG00000163006	chr2	109403208	109493047	108786730	108885485
CCDC14	coiled-coil domain containing 14	PA134990564	64770	HGNC:25766	ENSG00000175455	chr3	123616152	123680255	123887383	123961412
CCDC140	coiled-coil domain containing 140	PA162381440	151278	HGNC:26514	ENSG00000163081	chr2	223162866	223169936	222298147	222305217
CCDC141	coiled-coil domain containing 141	PA162381449	285025	HGNC:26821	ENSG00000163492	chr2	179694484	179914841	178825308	179050134
CCDC142	coiled-coil domain containing 142	PA162381450	84865	HGNC:25889	ENSG00000135637	chr2	74699959	74710357	74472832	74483230
CCDC144A	coiled-coil domain containing 144A	PA162381473	9720	HGNC:29072	ENSG00000170160	chr17	16593549	16678311	16666768	16774999
CCDC144B	coiled-coil domain containing 144B (pseudogene)	PA162381474	284047	HGNC:26704	ENSG00000154874	chr17	18441114	18528930	18537800	18625617
CCDC144NL	coiled-coil domain containing 144 family, N-terminal like	PA164717677	339184	HGNC:33735	ENSG00000205212	chr17	20766708	20799453	20847348	20896587
CCDC146	coiled-coil domain containing 146	PA162381475	57639	HGNC:29296	ENSG00000135205	chr7	76751934	76924534	77122617	77295204
CCDC148	coiled-coil domain containing 148	PA162381559	130940	HGNC:25191	ENSG00000153237	chr2	159027869	159313297	158171356	158456753
CCDC149	coiled-coil domain containing 149	PA162381560	91050	HGNC:25405	ENSG00000181982	chr4	24807739	24981826	24806117	24980204
CCDC15	coiled-coil domain containing 15	PA142672175	80071	HGNC:25798	ENSG00000149548	chr11	124824017	124911385	124954121	125041489
CCDC150	coiled-coil domain containing 150	PA162381583	284992	HGNC:26834	ENSG00000144395	chr2	197504278	197597530	196639632	196733668
CCDC152	coiled-coil domain containing 152	PA162381615	100129792	HGNC:34438	ENSG00000198865	chr5	42756920	42802539	42756818	42802437
CCDC153	coiled-coil domain containing 153	PA162381639	283152	HGNC:27446	ENSG00000248712	chr11	119060963	119072160	119190254	119206232
CCDC154	coiled-coil domain containing 154	PA162381640	645811	HGNC:34454	ENSG00000197599	chr16	1484389	1494490	1434388	1444489
CCDC155	coiled-coil domain containing 155	PA162381684	147872	HGNC:26520		chr19	49891475	49921256	49388218	49418002
CCDC157	coiled-coil domain containing 157	PA164717678	550631	HGNC:33854	ENSG00000187860	chr22	30752627	30772818	30356635	30378655
CCDC158	coiled-coil domain containing 158	PA164717707	339965	HGNC:26374	ENSG00000163749	chr4	77234192	77333285	76313039	76421920
CCDC159	coiled-coil domain containing 159	PA165393298	126075	HGNC:26996	ENSG00000183401	chr19	11457160	11465620	11346340	11354951
CCDC160	coiled-coil domain containing 160	PA165756450	347475	HGNC:37286	ENSG00000203952	chrX	133371077	133380237	134237047	134246207
CCDC162P	coiled-coil domain containing 162, pseudogene	PA134874211	221262	HGNC:21565	ENSG00000203798	chr6	109615506	109629423	109294303	109308220
CCDC163	coiled-coil domain containing 163	PA166180582	126661	HGNC:27003			0	0	0	0
CCDC166	coiled-coil domain containing 166	PA166049076	100130274	HGNC:41910		chr8	144788864	144790279	143706694	143708109
CCDC167	coiled-coil domain containing 167	PA134900129	154467	HGNC:21239	ENSG00000198937	chr6	37450696	37467700	37482920	37499924
CCDC168	coiled-coil domain containing 168	PA165505081	643677	HGNC:26851	ENSG00000175820	chr13	103381717	103411422	102729367	102759072
CCDC169	coiled-coil domain containing 169	PA162378105	728591	HGNC:34361	ENSG00000242715	chr13	36801179	36871992	36227042	36297855
CCDC17	coiled-coil domain containing 17	PA142672177	149483	HGNC:26574	ENSG00000159588	chr1	46085716	46090424	45620044	45624787
CCDC170	coiled-coil domain containing 170	PA134876442	80129	HGNC:21177	ENSG00000120262	chr6	151815175	151942328	151494040	151621193
CCDC171	coiled-coil domain containing 171	PA134921892	203238	HGNC:29828	ENSG00000164989	chr9	15552872	15971897	15552874	16062431
CCDC172	coiled-coil domain containing 172	PA134867240	374355	HGNC:30524	ENSG00000182645	chr10	118083940	118139541	116324097	116380029
CCDC174	coiled-coil domain containing 174	PA134914840	51244	HGNC:28033	ENSG00000154781	chr3	14693253	14714166	14651683	14673186
CCDC175	coiled-coil domain containing 175	PA134933838	729665	HGNC:19847	ENSG00000151838	chr14	59971785	60043549	59504212	59577276
CCDC177	coiled-coil domain containing 177	PA134892125	56936	HGNC:23243		chr14	70036531	70041600	69569814	69574883
CCDC178	coiled-coil domain containing 178	PA134979792	374864	HGNC:29588	ENSG00000166960	chr18	30517225	31020685	32937402	33441040
CCDC179	coiled-coil domain containing 179	PA166049149	100500938	HGNC:44653		chr11	22868468	22881972	22846922	22860971
CCDC18	coiled-coil domain containing 18	PA142672178	343099	HGNC:30370	ENSG00000122483	chr1	93646038	93744769	93179802	93279037
CCDC180	coiled-coil domain containing 180	PA165585576	100499483	HGNC:29303	ENSG00000197816	chr9	100069910	100139577	97307628	97377295
CCDC181	coiled-coil domain containing 181	PA142672498	57821	HGNC:28051	ENSG00000117477	chr1	169364108	169429907	169394870	169462221
CCDC182	coiled-coil domain containing 182	PA166123675	101927581	HGNC:49392	ENSG00000166329					
CCDC183	coiled-coil domain containing 183	PA134944889	84960	HGNC:28236	ENSG00000213213	chr9	139690033	139702364	136796338	136807741
CCDC184	coiled-coil domain containing 184	PA162377998	387856	HGNC:33749	ENSG00000177875	chr12	48577366	48579709	48183583	48185926
CCDC185	coiled-coil domain containing 185	PA142672515	164127	HGNC:26654	ENSG00000178395	chr1	223566715	223568812	223393373	223395470
CCDC186	coiled-coil domain containing 186	PA134904295	55088	HGNC:24349	ENSG00000165813	chr10	115880615	115934364	114120862	114174312
CCDC187	coiled-coil domain containing 187	PA166180583	399693	HGNC:30942			0	0	0	0
CCDC188	coiled-coil domain containing 188	PA166180584	388849	HGNC:51899			0	0	0	0
CCDC190	coiled-coil domain containing 190	PA142672494	339512	HGNC:28736	ENSG00000185860	chr1	162820766	162838605	162851291	162868918
CCDC191	coiled-coil domain containing 191	PA134916748	57577	HGNC:29272	ENSG00000163617	chr3	113682984	113775460	113964137	114056674
CCDC192	coiled-coil domain containing 192	PA166180585	728586	HGNC:49566			0	0	0	0
CCDC194	coiled-coil domain containing 194	PA166180586	110806280	HGNC:53438			0	0	0	0
CCDC195	coiled-coil domain containing 195	PA166180587	110806281	HGNC:53441			0	0	0	0
CCDC196	coiled-coil domain containing 196	PA165479209	440184	HGNC:20100	ENSG00000196553	chr14	66953109	66965271	66486371	66498553
CCDC197	coiled-coil domain containing 197	PA134880534	256369	HGNC:19860		chr14	94463616	94478041	93997270	94011695
CCDC198	coiled-coil domain containing 198	PA134868494	55195	HGNC:20189	ENSG00000100557	chr14	57936595	57960581	57469300	57493980
CCDC200	coiled-coil domain containing 200	PA166182665	100874261	HGNC:43658			0	0	0	0
CCDC201	coiled-coil domain containing 201	PA166182666	114515518	HGNC:54081			0	0	0	0
CCDC22	coiled-coil domain containing 22	PA134947763	28952	HGNC:28909	ENSG00000101997	chrX	49091927	49106987	49235467	49250526
CCDC24	coiled-coil domain containing 24	PA142672182	149473	HGNC:28688	ENSG00000159214	chr1	44457280	44462200	43991247	43996528
CCDC25	coiled-coil domain containing 25	PA142672183	55246	HGNC:25591	ENSG00000147419	chr8	27590833	27630170	27733316	27772656
CCDC26	coiled-coil domain containing 26	PA142672184	137196	HGNC:28416		chr8				
CCDC27	coiled-coil domain containing 27	PA142672185	148870	HGNC:26546	ENSG00000162592	chr1	3668965	3688209	3752398	3771645
CCDC28A	coiled-coil domain containing 28A	PA134939277	25901	HGNC:21098	ENSG00000024862	chr6	139094657	139114456	138773517	138793319
CCDC28B	coiled-coil domain containing 28B	PA142672186	79140	HGNC:28163	ENSG00000160050	chr1	32666202	32670991	32200386	32205390
CCDC3	coiled-coil domain containing 3	PA134863738	83643	HGNC:23813	ENSG00000151468	chr10	12938625	13141762	12896625	13099773
CCDC30	coiled-coil domain containing 30	PA165750513	728621	HGNC:26103	ENSG00000186409	chr1	43000560	43120335	42521240	42654664
CCDC32	coiled-coil domain containing 32	PA162378234	90416	HGNC:28295	ENSG00000128891	chr15	40824083	40857252	40531341	40565057
CCDC33	coiled-coil domain containing 33	PA142672188	80125	HGNC:26552	ENSG00000140481	chr15	74528630	74628813	74202705	74336472
CCDC34	coiled-coil domain containing 34	PA142672189	91057	HGNC:25079	ENSG00000109881	chr11	27360061	27384795	27338514	27363248
CCDC38	coiled-coil domain containing 38	PA142672193	120935	HGNC:26843	ENSG00000165972	chr12	96260826	96336428	95867048	95943301
CCDC39	coiled-coil domain containing 39	PA142672194	339829	HGNC:25244	ENSG00000145075	chr3	180331360	180397300	180614008	180679495
CCDC40	coiled-coil domain containing 40	PA142672195	55036	HGNC:26090	ENSG00000141519	chr17	78010431	78074412	80036632	80100613
CCDC42	coiled-coil domain containing 42	PA142672159	146849	HGNC:26528	ENSG00000161973	chr17	8633246	8648154	8729928	8744836
CCDC43	coiled-coil domain containing 43	PA142672160	124808	HGNC:26472	ENSG00000180329	chr17	42754805	42767355	44677437	44689797
CCDC47	coiled-coil domain containing 47	PA142672164	57003	HGNC:24856	ENSG00000108588	chr17	61822610	61851088	63745250	63773728
CCDC50	coiled-coil domain containing 50	PA25902	152137	HGNC:18111	ENSG00000152492	chr3	191046874	191116459	191329082	191398670
CCDC51	coiled-coil domain containing 51	PA142672167	79714	HGNC:25714	ENSG00000164051	chr3	48473580	48481529	48432170	48446652
CCDC54	coiled-coil domain containing 54	PA142672170	84692	HGNC:30703	ENSG00000138483	chr3	107096188	107097481	107377341	107378634
CCDC57	coiled-coil domain containing 57	PA142672173	284001	HGNC:27564	ENSG00000176155	chr17	80059333	80170705	82101458	82212892
CCDC59	coiled-coil domain containing 59	PA143485412	29080	HGNC:25005	ENSG00000133773	chr12	82746083	82752584	82352304	82358805
CCDC6	coiled-coil domain containing 6	PA134904022	8030	HGNC:18782	ENSG00000108091	chr10	61548505	61666414	59788747	59906656
CCDC60	coiled-coil domain containing 60	PA143485413	160777	HGNC:28610	ENSG00000183273	chr12	119772517	119978852	119334712	119541047
CCDC61	coiled-coil domain containing 61	PA162381685	729440	HGNC:33629	ENSG00000104983	chr19	46498719	46521874	45995457	46018616
CCDC62	coiled-coil domain containing 62	PA143485414	84660	HGNC:30723	ENSG00000130783	chr12	123259056	123311927	122773621	122827385
CCDC63	coiled-coil domain containing 63	PA143485415	160762	HGNC:26669	ENSG00000173093	chr12	111284757	111345339	110844489	110907535
CCDC65	coiled-coil domain containing 65	PA143485417	85478	HGNC:29937	ENSG00000139537	chr12	49297893	49325696	48904110	48921576
CCDC66	coiled-coil domain containing 66	PA143485418	285331	HGNC:27709	ENSG00000180376	chr3	56591184	56655864	56557125	56621837
CCDC68	coiled-coil domain containing 68	PA143485420	80323	HGNC:24350	ENSG00000166510	chr18	52568740	52626739	54901509	54959539
CCDC69	coiled-coil domain containing 69	PA128394640	26112	HGNC:24487	ENSG00000198624	chr5	150560613	150603654	151181052	151224093
CCDC7	coiled-coil domain containing 7	PA134879457	79741	"HGNC:26533,""HGNC:25779"""	ENSG00000216937	chr10	32735057	33171805	32446082	32882864
CCDC70	coiled-coil domain containing 70	PA143485421	83446	HGNC:25303	ENSG00000123171	chr13	52436117	52440372	51861981	51866236
CCDC71	coiled-coil domain containing 71	PA143485422	64925	HGNC:25760	ENSG00000177352	chr3	49199968	49203785	49162535	49166352
CCDC71L	coiled-coil domain containing 71 like	PA166048972	168455	HGNC:26685		chr7	106297211	106301634	106656765	106661188
CCDC73	coiled-coil domain containing 73	PA143485424	493860	HGNC:23261	ENSG00000186714	chr11	32623626	32816204	32602080	32794658
CCDC74A	coiled-coil domain containing 74A	PA143485425	90557	HGNC:25197	ENSG00000163040	chr2	132285248	132291239	131522621	131533666
CCDC74B	coiled-coil domain containing 74B	PA143485426	91409	HGNC:25267	ENSG00000152076	chr2	130896856	130902707	130139283	130145134
CCDC77	coiled-coil domain containing 77	PA143485429	84318	HGNC:28203	ENSG00000120647	chr12	498516	551811	389350	442642
CCDC78	coiled-coil domain containing 78	PA25539	124093	HGNC:14153	ENSG00000162004	chr16	772582	776880	722578	726880
CCDC8	coiled-coil domain containing 8	PA134931534	83987	HGNC:25367	ENSG00000169515	chr19	46913586	46916919	46410329	46413662
CCDC80	coiled-coil domain containing 80	PA144596470	151887	HGNC:30649	ENSG00000091986	chr3	112323407	112359977	112604386	112641143
CCDC81	coiled-coil domain containing 81	PA128394704	60494	HGNC:26281	ENSG00000149201	chr11	86085778	86134151	86374736	86423109
CCDC82	coiled-coil domain containing 82	PA143485431	79780	HGNC:26282	ENSG00000149231	chr11	96085929	96123083	96352765	96389940
CCDC83	coiled-coil domain containing 83	PA144596450	220047	HGNC:28535	ENSG00000150676	chr11	85566144	85631064	85855066	85920021
CCDC85A	coiled-coil domain containing 85A	PA144596452	114800	HGNC:29400	ENSG00000055813	chr2	56411258	56613309	56184123	56386174
CCDC85B	coiled-coil domain containing 85B	PA144596453	11007	HGNC:24926	ENSG00000175602	chr11	65657875	65659106	65890404	65891635
CCDC85C	coiled-coil domain containing 85C	PA164717760	317762	HGNC:35459	ENSG00000205476	chr14	99977603	100070727	99511266	99604390
CCDC86	coiled-coil domain containing 86	PA144596454	79080	HGNC:28359	ENSG00000110104	chr11	60609429	60618561	60841956	60851088
CCDC87	coiled-coil domain containing 87	PA144596455	55231	HGNC:25579	ENSG00000182791	chr11	66357640	66360554	66590169	66593083
CCDC88A	coiled-coil domain containing 88A	PA162381751	55704	HGNC:25523	ENSG00000115355	chr2	55514978	55647057	55287817	55419921
CCDC88B	coiled-coil domain containing 88B	PA162381820	283234	HGNC:26757	ENSG00000168071	chr11	64107690	64125006	64340203	64357534
CCDC88C	coiled-coil domain containing 88C	PA162381879	440193	HGNC:19967	ENSG00000015133	chr14	91737667	91884188	91271323	91418498
CCDC89	coiled-coil domain containing 89	PA144596457	220388	HGNC:26762	ENSG00000179071	chr11	85394893	85397320	85683844	85686277
CCDC9	coiled-coil domain containing 9	PA134946561	26093	HGNC:24560	ENSG00000105321	chr19	47759731	47777329	47256474	47271958
CCDC90B	coiled-coil domain containing 90B	PA162381967	60492	HGNC:28108	ENSG00000137500	chr11	82972498	82997445	83259093	83286407
CCDC91	coiled-coil domain containing 91	PA144596458	55297	HGNC:24855	ENSG00000123106	chr12	28343360	28703099	28190427	28550166
CCDC92	coiled-coil domain containing 92	PA144596459	80212	HGNC:29563	ENSG00000119242	chr12	124420955	124457373	123936409	123972985
CCDC93	coiled-coil domain containing 93	PA144596460	54520	HGNC:25611	ENSG00000125633	chr2	118673054	118771739	117915478	118014163
CCDC96	coiled-coil domain containing 96	PA144596463	257236	HGNC:26900	ENSG00000173013	chr4	7042576	7044728	7040849	7043001
CCDC97	coiled-coil domain containing 97	PA144596464	90324	HGNC:28289	ENSG00000142039	chr19	41816094	41830788	41309855	41324883
CCDC9B	coiled-coil domain containing 9B	PA162378161	388115	HGNC:33488	ENSG00000188549	chr15	40623653	40633168	40331452	40340967
CCER1	coiled-coil glutamate rich protein 1	PA142672294	196477	HGNC:28373	ENSG00000197651	chr12	91345992	91348953	90952215	90955176
CCER2	coiled-coil glutamate rich protein 2	PA166123676	643669	HGNC:44662	ENSG00000262484					
CCHCR1	coiled-coil alpha-helical rod protein 1	PA134942738	54535	HGNC:13930	"ENSG00000204536,""ENSG00000206457"""	chr6	31110216	31126015	31142439	31158238
CCIN	calicin	PA26140	881	HGNC:1568	ENSG00000185972	chr9	36165990	36171331	36169392	36171334
CCK	cholecystokinin	PA26141	885	HGNC:1569	ENSG00000187094	chr3	42299315	42307662	42257824	42266195
CCKAR	cholecystokinin A receptor	PA26142	886	HGNC:1570	ENSG00000163394	chr4	26483018	26492042	26481396	26490420
CCKBR	cholecystokinin B receptor	PA26143	887	HGNC:1571	ENSG00000110148	chr11	6280841	6293363	6259611	6272127
CCL1	C-C motif chemokine ligand 1	PA35542	6346	HGNC:10609	ENSG00000108702	chr17	32687347	32690252	34360328	34363233
CCL11	C-C motif chemokine ligand 11	PA35543	6356	HGNC:10610	ENSG00000172156	chr17	32612687	32615199	34285668	34288180
CCL13	C-C motif chemokine ligand 13	PA35544	6357	HGNC:10611	ENSG00000181374	chr17	32683471	32685629	34356452	34358610
CCL14	C-C motif chemokine ligand 14	PA35545	6358	HGNC:10612	ENSG00000213494	chr17	34310692	34313764	35983656	35986728
CCL15	C-C motif chemokine ligand 15	PA35546	6359	HGNC:10613	ENSG00000161574	chr17	34323476	34329084	35997582	36002038
CCL16	C-C motif chemokine ligand 16	PA35547	6360	HGNC:10614	ENSG00000161573	chr17	34303529	34310373	35976493	35983620
CCL17	C-C motif chemokine ligand 17	PA35548	6361	HGNC:10615	ENSG00000102970	chr16	57438679	57449974	57396076	57416063
CCL18	C-C motif chemokine ligand 18	PA35549	6362	HGNC:10616	ENSG00000006074	chr17	34391643	34398841	36064272	36071481
CCL19	C-C motif chemokine ligand 19	PA35550	6363	HGNC:10617	ENSG00000172724	chr9	34689567	34691274	34689570	34691277
CCL2	C-C motif chemokine ligand 2	PA130413151	6347	HGNC:10618	ENSG00000108691	chr17	32582296	32584222	34255277	34257203
CCL20	C-C motif chemokine ligand 20	PA35551	6364	HGNC:10619	ENSG00000115009	chr2	228678558	228682280	227813842	227817564
CCL21	C-C motif chemokine ligand 21	PA35552	6366	HGNC:10620	ENSG00000137077	chr9	34709002	34710164	34709005	34710167
CCL22	C-C motif chemokine ligand 22	PA35553	6367	HGNC:10621	ENSG00000102962	chr16	57392695	57400102	57357909	57366190
CCL23	C-C motif chemokine ligand 23	PA35554	6368	HGNC:10622	ENSG00000167236	chr17	34340096	34345005	36013056	36018179
CCL24	C-C motif chemokine ligand 24	PA35555	6369	HGNC:10623	ENSG00000106178	chr7	75440766	75452674	75810825	75823356
CCL25	C-C motif chemokine ligand 25	PA35556	6370	HGNC:10624	ENSG00000131142	chr19	8117224	8127547	8052318	8062663
CCL26	C-C motif chemokine ligand 26	PA35557	10344	HGNC:10625	ENSG00000006606	chr7	75398842	75419064	75769524	75791583
CCL27	C-C motif chemokine ligand 27	PA35558	10850	HGNC:10626	ENSG00000213927	chr9	34661893	34662689	34661883	34662692
CCL28	C-C motif chemokine ligand 28	PA38463	56477	HGNC:17700	ENSG00000151882	chr5	43376747	43412488	43356972	43412391
CCL3	C-C motif chemokine ligand 3	PA35559	6348	HGNC:10627	ENSG00000006075	chr17	34415602	34417506	36088256	36090160
CCL3L1	C-C motif chemokine ligand 3 like 1	PA35560	6349	HGNC:10628	ENSG00000205021	chr17	34623842	34625730	250577	252466
CCL3L3	C-C motif chemokine ligand 3 like 3	PA142672174	414062	HGNC:30554	"ENSG00000205021,""ENSG00000256515"""	chr17	34522268	34524147	36194869	36196748
CCL3P1	chemokine (C-C motif) ligand 3 pseudogene 1	PA35561	390788	HGNC:10629		chr17	34610311	34611373	237046	238108
CCL4	C-C motif chemokine ligand 4	PA35562	6351	HGNC:10630	ENSG00000129277	chr17	34431220	34433014	36103827	36105621
CCL4L2	C-C motif chemokine ligand 4 like 2	PA142672157	"388372,""9560"""	HGNC:24066	"ENSG00000197262,""ENSG00000205020"""	chr17	34640034	34641841	266611	268581
CCL5	C-C motif chemokine ligand 5	PA35564	6352	HGNC:10632	ENSG00000161570	chr17	34198495	34207377	35871491	35880373
CCL7	C-C motif chemokine ligand 7	PA35566	6354	HGNC:10634	ENSG00000108688	chr17	32597235	32599261	34270216	34272242
