Gene	Allele1	Allele2	ActivityScore	Phenotype	EHR	ConsultationID
CYP2D6	*41x3	*125		Indeterminate	none	26
CYP2D6	*41x3	*126		Indeterminate	none	26
CYP2D6	*41x3	*127		Indeterminate	none	26
CYP2D6	*41x3	*128		Indeterminate	none	26
CYP2D6	*41x3	*129	1.5	Normal Metabolizer	Normal/Routine/ Low Risk	41
CYP2D6	*41x3	*130		Indeterminate	none	26
CYP2D6	*41x3	*131		Indeterminate	none	26
CYP2D6	*41x3	*132		Indeterminate	none	26
CYP2D6	*41x3	*133		Indeterminate	none	26
CYP2D6	*41x3	*134		Indeterminate	none	26
CYP2D6	*41x3	*135		Indeterminate	none	26
CYP2D6	*41x3	*136		Indeterminate	none	26
CYP2D6	*41x3	*137		Indeterminate	none	26
CYP2D6	*41x3	*138		Indeterminate	none	26
CYP2D6	*41x3	*139		Indeterminate	none	26
CYP2D6	*42	*42	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*43		Indeterminate	none	26
CYP2D6	*42	*43x2		Indeterminate	none	26
CYP2D6	*42	*44	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*45	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*42	*45x2	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*42	*46	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*42	*47	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*48	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*42	*49	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*42	*50	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*42	*51	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*52		Indeterminate	none	26
CYP2D6	*42	*53	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*42	*54	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*42	*55	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*42	*56	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*57	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*58		Indeterminate	none	26
CYP2D6	*42	*59	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*42	*60	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*61		Indeterminate	none	26
CYP2D6	*42	*62	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*63		Indeterminate	none	26
CYP2D6	*42	*64		Indeterminate	none	26
CYP2D6	*42	*65		Indeterminate	none	26
CYP2D6	*42	*68	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*69	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*70		Indeterminate	none	26
CYP2D6	*42	*71		Indeterminate	none	26
CYP2D6	*42	*72		Indeterminate	none	26
CYP2D6	*42	*73		Indeterminate	none	26
CYP2D6	*42	*74		Indeterminate	none	26
CYP2D6	*42	*75		Indeterminate	none	26
CYP2D6	*42	*81	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*82		Indeterminate	none	26
CYP2D6	*42	*83		Indeterminate	none	26
CYP2D6	*42	*84		Indeterminate	none	26
CYP2D6	*42	*85		Indeterminate	none	26
CYP2D6	*42	*86		Indeterminate	none	26
CYP2D6	*42	*87		Indeterminate	none	26
CYP2D6	*42	*88		Indeterminate	none	26
CYP2D6	*42	*89		Indeterminate	none	26
CYP2D6	*42	*90		Indeterminate	none	26
CYP2D6	*42	*91		Indeterminate	none	26
CYP2D6	*42	*92	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*93		Indeterminate	none	26
CYP2D6	*42	*94		Indeterminate	none	26
CYP2D6	*42	*95		Indeterminate	none	26
CYP2D6	*42	*96	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*97		Indeterminate	none	26
CYP2D6	*42	*98		Indeterminate	none	26
CYP2D6	*42	*99	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*100	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*101	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*102		Indeterminate	none	26
CYP2D6	*42	*103		Indeterminate	none	26
CYP2D6	*42	*104		Indeterminate	none	26
CYP2D6	*42	*105		Indeterminate	none	26
CYP2D6	*42	*106		Indeterminate	none	26
CYP2D6	*42	*107		Indeterminate	none	26
CYP2D6	*42	*108		Indeterminate	none	26
CYP2D6	*42	*109		Indeterminate	none	26
CYP2D6	*42	*110		Indeterminate	none	26
CYP2D6	*42	*111		Indeterminate	none	26
CYP2D6	*42	*112		Indeterminate	none	26
CYP2D6	*42	*113		Indeterminate	none	26
CYP2D6	*42	*114	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*115		Indeterminate	none	26
CYP2D6	*42	*116		Indeterminate	none	26
CYP2D6	*42	*117		Indeterminate	none	26
CYP2D6	*42	*118		Indeterminate	none	26
CYP2D6	*42	*119		Indeterminate	none	26
CYP2D6	*42	*120	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*121		Indeterminate	none	26
CYP2D6	*42	*122		Indeterminate	none	26
CYP2D6	*42	*123		Indeterminate	none	26
CYP2D6	*42	*124	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*125		Indeterminate	none	26
CYP2D6	*42	*126		Indeterminate	none	26
CYP2D6	*42	*127		Indeterminate	none	26
CYP2D6	*42	*128		Indeterminate	none	26
CYP2D6	*42	*129	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*42	*130		Indeterminate	none	26
CYP2D6	*42	*131		Indeterminate	none	26
CYP2D6	*42	*132		Indeterminate	none	26
CYP2D6	*42	*133		Indeterminate	none	26
CYP2D6	*42	*134		Indeterminate	none	26
CYP2D6	*42	*135		Indeterminate	none	26
CYP2D6	*42	*136		Indeterminate	none	26
CYP2D6	*42	*137		Indeterminate	none	26
CYP2D6	*42	*138		Indeterminate	none	26
CYP2D6	*42	*139		Indeterminate	none	26
CYP2D6	*43	*43		Indeterminate	none	26
CYP2D6	*43	*43x2		Indeterminate	none	26
CYP2D6	*43	*44		Indeterminate	none	26
CYP2D6	*43	*45		Indeterminate	none	26
CYP2D6	*43	*45x2		Indeterminate	none	26
CYP2D6	*43	*46		Indeterminate	none	26
CYP2D6	*43	*47		Indeterminate	none	26
CYP2D6	*43	*48		Indeterminate	none	26
CYP2D6	*43	*49		Indeterminate	none	26
CYP2D6	*43	*50		Indeterminate	none	26
CYP2D6	*43	*51		Indeterminate	none	26
CYP2D6	*43	*52		Indeterminate	none	26
CYP2D6	*43	*53		Indeterminate	none	26
CYP2D6	*43	*54		Indeterminate	none	26
CYP2D6	*43	*55		Indeterminate	none	26
CYP2D6	*43	*56		Indeterminate	none	26
CYP2D6	*43	*57		Indeterminate	none	26
CYP2D6	*43	*58		Indeterminate	none	26
CYP2D6	*43	*59		Indeterminate	none	26
CYP2D6	*43	*60		Indeterminate	none	26
CYP2D6	*43	*61		Indeterminate	none	26
CYP2D6	*43	*62		Indeterminate	none	26
CYP2D6	*43	*63		Indeterminate	none	26
CYP2D6	*43	*64		Indeterminate	none	26
CYP2D6	*43	*65		Indeterminate	none	26
CYP2D6	*43	*68		Indeterminate	none	26
CYP2D6	*43	*69		Indeterminate	none	26
CYP2D6	*43	*70		Indeterminate	none	26
CYP2D6	*43	*71		Indeterminate	none	26
CYP2D6	*43	*72		Indeterminate	none	26
CYP2D6	*43	*73		Indeterminate	none	26
CYP2D6	*43	*74		Indeterminate	none	26
CYP2D6	*43	*75		Indeterminate	none	26
CYP2D6	*43	*81		Indeterminate	none	26
CYP2D6	*43	*82		Indeterminate	none	26
CYP2D6	*43	*83		Indeterminate	none	26
CYP2D6	*43	*84		Indeterminate	none	26
CYP2D6	*43	*85		Indeterminate	none	26
CYP2D6	*43	*86		Indeterminate	none	26
CYP2D6	*43	*87		Indeterminate	none	26
CYP2D6	*43	*88		Indeterminate	none	26
CYP2D6	*43	*89		Indeterminate	none	26
CYP2D6	*43	*90		Indeterminate	none	26
CYP2D6	*43	*91		Indeterminate	none	26
CYP2D6	*43	*92		Indeterminate	none	26
CYP2D6	*43	*93		Indeterminate	none	26
CYP2D6	*43	*94		Indeterminate	none	26
CYP2D6	*43	*95		Indeterminate	none	26
CYP2D6	*43	*96		Indeterminate	none	26
CYP2D6	*43	*97		Indeterminate	none	26
CYP2D6	*43	*98		Indeterminate	none	26
CYP2D6	*43	*99		Indeterminate	none	26
CYP2D6	*43	*100		Indeterminate	none	26
CYP2D6	*43	*101		Indeterminate	none	26
CYP2D6	*43	*102		Indeterminate	none	26
CYP2D6	*43	*103		Indeterminate	none	26
CYP2D6	*43	*104		Indeterminate	none	26
CYP2D6	*43	*105		Indeterminate	none	26
CYP2D6	*43	*106		Indeterminate	none	26
CYP2D6	*43	*107		Indeterminate	none	26
CYP2D6	*43	*108		Indeterminate	none	26
CYP2D6	*43	*109		Indeterminate	none	26
CYP2D6	*43	*110		Indeterminate	none	26
CYP2D6	*43	*111		Indeterminate	none	26
CYP2D6	*43	*112		Indeterminate	none	26
CYP2D6	*43	*113		Indeterminate	none	26
CYP2D6	*43	*114		Indeterminate	none	26
CYP2D6	*43	*115		Indeterminate	none	26
CYP2D6	*43	*116		Indeterminate	none	26
CYP2D6	*43	*117		Indeterminate	none	26
CYP2D6	*43	*118		Indeterminate	none	26
CYP2D6	*43	*119		Indeterminate	none	26
CYP2D6	*43	*120		Indeterminate	none	26
CYP2D6	*43	*121		Indeterminate	none	26
CYP2D6	*43	*122		Indeterminate	none	26
CYP2D6	*43	*123		Indeterminate	none	26
CYP2D6	*43	*124		Indeterminate	none	26
CYP2D6	*43	*125		Indeterminate	none	26
CYP2D6	*43	*126		Indeterminate	none	26
CYP2D6	*43	*127		Indeterminate	none	26
CYP2D6	*43	*128		Indeterminate	none	26
CYP2D6	*43	*129		Indeterminate	none	26
CYP2D6	*43	*130		Indeterminate	none	26
CYP2D6	*43	*131		Indeterminate	none	26
CYP2D6	*43	*132		Indeterminate	none	26
CYP2D6	*43	*133		Indeterminate	none	26
CYP2D6	*43	*134		Indeterminate	none	26
CYP2D6	*43	*135		Indeterminate	none	26
CYP2D6	*43	*136		Indeterminate	none	26
CYP2D6	*43	*137		Indeterminate	none	26
CYP2D6	*43	*138		Indeterminate	none	26
CYP2D6	*43	*139		Indeterminate	none	26
CYP2D6	*43x2	*43x2		Indeterminate	none	26
CYP2D6	*43x2	*44		Indeterminate	none	26
CYP2D6	*43x2	*45		Indeterminate	none	26
CYP2D6	*43x2	*45x2		Indeterminate	none	26
CYP2D6	*43x2	*46		Indeterminate	none	26
CYP2D6	*43x2	*47		Indeterminate	none	26
CYP2D6	*43x2	*48		Indeterminate	none	26
CYP2D6	*43x2	*49		Indeterminate	none	26
CYP2D6	*43x2	*50		Indeterminate	none	26
CYP2D6	*43x2	*51		Indeterminate	none	26
CYP2D6	*43x2	*52		Indeterminate	none	26
CYP2D6	*43x2	*53		Indeterminate	none	26
CYP2D6	*43x2	*54		Indeterminate	none	26
CYP2D6	*43x2	*55		Indeterminate	none	26
CYP2D6	*43x2	*56		Indeterminate	none	26
CYP2D6	*43x2	*57		Indeterminate	none	26
CYP2D6	*43x2	*58		Indeterminate	none	26
CYP2D6	*43x2	*59		Indeterminate	none	26
CYP2D6	*43x2	*60		Indeterminate	none	26
CYP2D6	*43x2	*61		Indeterminate	none	26
CYP2D6	*43x2	*62		Indeterminate	none	26
CYP2D6	*43x2	*63		Indeterminate	none	26
CYP2D6	*43x2	*64		Indeterminate	none	26
CYP2D6	*43x2	*65		Indeterminate	none	26
CYP2D6	*43x2	*68		Indeterminate	none	26
CYP2D6	*43x2	*69		Indeterminate	none	26
CYP2D6	*43x2	*70		Indeterminate	none	26
CYP2D6	*43x2	*71		Indeterminate	none	26
CYP2D6	*43x2	*72		Indeterminate	none	26
CYP2D6	*43x2	*73		Indeterminate	none	26
CYP2D6	*43x2	*74		Indeterminate	none	26
CYP2D6	*43x2	*75		Indeterminate	none	26
CYP2D6	*43x2	*81		Indeterminate	none	26
CYP2D6	*43x2	*82		Indeterminate	none	26
CYP2D6	*43x2	*83		Indeterminate	none	26
CYP2D6	*43x2	*84		Indeterminate	none	26
CYP2D6	*43x2	*85		Indeterminate	none	26
CYP2D6	*43x2	*86		Indeterminate	none	26
CYP2D6	*43x2	*87		Indeterminate	none	26
CYP2D6	*43x2	*88		Indeterminate	none	26
CYP2D6	*43x2	*89		Indeterminate	none	26
CYP2D6	*43x2	*90		Indeterminate	none	26
CYP2D6	*43x2	*91		Indeterminate	none	26
CYP2D6	*43x2	*92		Indeterminate	none	26
CYP2D6	*43x2	*93		Indeterminate	none	26
CYP2D6	*43x2	*94		Indeterminate	none	26
CYP2D6	*43x2	*95		Indeterminate	none	26
CYP2D6	*43x2	*96		Indeterminate	none	26
CYP2D6	*43x2	*97		Indeterminate	none	26
CYP2D6	*43x2	*98		Indeterminate	none	26
CYP2D6	*43x2	*99		Indeterminate	none	26
CYP2D6	*43x2	*100		Indeterminate	none	26
CYP2D6	*43x2	*101		Indeterminate	none	26
CYP2D6	*43x2	*102		Indeterminate	none	26
CYP2D6	*43x2	*103		Indeterminate	none	26
CYP2D6	*43x2	*104		Indeterminate	none	26
CYP2D6	*43x2	*105		Indeterminate	none	26
CYP2D6	*43x2	*106		Indeterminate	none	26
CYP2D6	*43x2	*107		Indeterminate	none	26
CYP2D6	*43x2	*108		Indeterminate	none	26
CYP2D6	*43x2	*109		Indeterminate	none	26
CYP2D6	*43x2	*110		Indeterminate	none	26
CYP2D6	*43x2	*111		Indeterminate	none	26
CYP2D6	*43x2	*112		Indeterminate	none	26
CYP2D6	*43x2	*113		Indeterminate	none	26
CYP2D6	*43x2	*114		Indeterminate	none	26
CYP2D6	*43x2	*115		Indeterminate	none	26
CYP2D6	*43x2	*116		Indeterminate	none	26
CYP2D6	*43x2	*117		Indeterminate	none	26
CYP2D6	*43x2	*118		Indeterminate	none	26
CYP2D6	*43x2	*119		Indeterminate	none	26
CYP2D6	*43x2	*120		Indeterminate	none	26
CYP2D6	*43x2	*121		Indeterminate	none	26
CYP2D6	*43x2	*122		Indeterminate	none	26
CYP2D6	*43x2	*123		Indeterminate	none	26
CYP2D6	*43x2	*124		Indeterminate	none	26
CYP2D6	*43x2	*125		Indeterminate	none	26
CYP2D6	*43x2	*126		Indeterminate	none	26
CYP2D6	*43x2	*127		Indeterminate	none	26
CYP2D6	*43x2	*128		Indeterminate	none	26
CYP2D6	*43x2	*129		Indeterminate	none	26
CYP2D6	*43x2	*130		Indeterminate	none	26
CYP2D6	*43x2	*131		Indeterminate	none	26
CYP2D6	*43x2	*132		Indeterminate	none	26
CYP2D6	*43x2	*133		Indeterminate	none	26
CYP2D6	*43x2	*134		Indeterminate	none	26
CYP2D6	*43x2	*135		Indeterminate	none	26
CYP2D6	*43x2	*136		Indeterminate	none	26
CYP2D6	*43x2	*137		Indeterminate	none	26
CYP2D6	*43x2	*138		Indeterminate	none	26
CYP2D6	*43x2	*139		Indeterminate	none	26
CYP2D6	*44	*44	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*45	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*44	*45x2	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*44	*46	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*44	*47	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*48	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*44	*49	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*44	*50	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*44	*51	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*52		Indeterminate	none	26
CYP2D6	*44	*53	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*44	*54	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*44	*55	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*44	*56	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*57	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*58		Indeterminate	none	26
CYP2D6	*44	*59	0.5	Intermediate Metabolizer	Abnormal/Priority/High Risk	45
CYP2D6	*44	*60	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*61		Indeterminate	none	26
CYP2D6	*44	*62	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*63		Indeterminate	none	26
CYP2D6	*44	*64		Indeterminate	none	26
CYP2D6	*44	*65		Indeterminate	none	26
CYP2D6	*44	*68	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*69	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*70		Indeterminate	none	26
CYP2D6	*44	*71		Indeterminate	none	26
CYP2D6	*44	*72		Indeterminate	none	26
CYP2D6	*44	*73		Indeterminate	none	26
CYP2D6	*44	*74		Indeterminate	none	26
CYP2D6	*44	*75		Indeterminate	none	26
CYP2D6	*44	*81	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*82		Indeterminate	none	26
CYP2D6	*44	*83		Indeterminate	none	26
CYP2D6	*44	*84		Indeterminate	none	26
CYP2D6	*44	*85		Indeterminate	none	26
CYP2D6	*44	*86		Indeterminate	none	26
CYP2D6	*44	*87		Indeterminate	none	26
CYP2D6	*44	*88		Indeterminate	none	26
CYP2D6	*44	*89		Indeterminate	none	26
CYP2D6	*44	*90		Indeterminate	none	26
CYP2D6	*44	*91		Indeterminate	none	26
CYP2D6	*44	*92	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*93		Indeterminate	none	26
CYP2D6	*44	*94		Indeterminate	none	26
CYP2D6	*44	*95		Indeterminate	none	26
CYP2D6	*44	*96	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*97		Indeterminate	none	26
CYP2D6	*44	*98		Indeterminate	none	26
CYP2D6	*44	*99	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*100	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*101	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*102		Indeterminate	none	26
CYP2D6	*44	*103		Indeterminate	none	26
CYP2D6	*44	*104		Indeterminate	none	26
CYP2D6	*44	*105		Indeterminate	none	26
CYP2D6	*44	*106		Indeterminate	none	26
CYP2D6	*44	*107		Indeterminate	none	26
CYP2D6	*44	*108		Indeterminate	none	26
CYP2D6	*44	*109		Indeterminate	none	26
CYP2D6	*44	*110		Indeterminate	none	26
CYP2D6	*44	*111		Indeterminate	none	26
CYP2D6	*44	*112		Indeterminate	none	26
CYP2D6	*44	*113		Indeterminate	none	26
CYP2D6	*44	*114	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*115		Indeterminate	none	26
CYP2D6	*44	*116		Indeterminate	none	26
CYP2D6	*44	*117		Indeterminate	none	26
CYP2D6	*44	*118		Indeterminate	none	26
CYP2D6	*44	*119		Indeterminate	none	26
CYP2D6	*44	*120	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*121		Indeterminate	none	26
CYP2D6	*44	*122		Indeterminate	none	26
CYP2D6	*44	*123		Indeterminate	none	26
CYP2D6	*44	*124	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*125		Indeterminate	none	26
CYP2D6	*44	*126		Indeterminate	none	26
CYP2D6	*44	*127		Indeterminate	none	26
CYP2D6	*44	*128		Indeterminate	none	26
CYP2D6	*44	*129	0.0	Poor Metabolizer	Abnormal/Priority/High Risk	47
CYP2D6	*44	*130		Indeterminate	none	26
CYP2D6	*44	*131		Indeterminate	none	26
CYP2D6	*44	*132		Indeterminate	none	26
CYP2D6	*44	*133		Indeterminate	none	26
CYP2D6	*44	*134		Indeterminate	none	26
CYP2D6	*44	*135		Indeterminate	none	26
CYP2D6	*44	*136		Indeterminate	none	26
CYP2D6	*44	*137		Indeterminate	none	26
CYP2D6	*44	*138		Indeterminate	none	26
CYP2D6	*44	*139		Indeterminate	none	26
CYP2D6	*45	*45	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*45	*45x2	3.0	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	35
CYP2D6	*45	*46	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*45	*47	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*48	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*45	*49	1.5	Normal Metabolizer	Normal/Routine/ Low Risk	41
CYP2D6	*45	*50	1.5	Normal Metabolizer	Normal/Routine/ Low Risk	41
CYP2D6	*45	*51	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*52		Indeterminate	none	26
CYP2D6	*45	*53	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*45	*54	1.5	Normal Metabolizer	Normal/Routine/ Low Risk	41
CYP2D6	*45	*55	1.5	Normal Metabolizer	Normal/Routine/ Low Risk	41
CYP2D6	*45	*56	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*57	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*58		Indeterminate	none	26
CYP2D6	*45	*59	1.5	Normal Metabolizer	Normal/Routine/ Low Risk	41
CYP2D6	*45	*60	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*61		Indeterminate	none	26
CYP2D6	*45	*62	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*63		Indeterminate	none	26
CYP2D6	*45	*64		Indeterminate	none	26
CYP2D6	*45	*65		Indeterminate	none	26
CYP2D6	*45	*68	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*69	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*70		Indeterminate	none	26
CYP2D6	*45	*71		Indeterminate	none	26
CYP2D6	*45	*72		Indeterminate	none	26
CYP2D6	*45	*73		Indeterminate	none	26
CYP2D6	*45	*74		Indeterminate	none	26
CYP2D6	*45	*75		Indeterminate	none	26
CYP2D6	*45	*81	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*82		Indeterminate	none	26
CYP2D6	*45	*83		Indeterminate	none	26
CYP2D6	*45	*84		Indeterminate	none	26
CYP2D6	*45	*85		Indeterminate	none	26
CYP2D6	*45	*86		Indeterminate	none	26
CYP2D6	*45	*87		Indeterminate	none	26
CYP2D6	*45	*88		Indeterminate	none	26
CYP2D6	*45	*89		Indeterminate	none	26
CYP2D6	*45	*90		Indeterminate	none	26
CYP2D6	*45	*91		Indeterminate	none	26
CYP2D6	*45	*92	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*93		Indeterminate	none	26
CYP2D6	*45	*94		Indeterminate	none	26
CYP2D6	*45	*95		Indeterminate	none	26
CYP2D6	*45	*96	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*97		Indeterminate	none	26
CYP2D6	*45	*98		Indeterminate	none	26
CYP2D6	*45	*99	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*100	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*101	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*102		Indeterminate	none	26
CYP2D6	*45	*103		Indeterminate	none	26
CYP2D6	*45	*104		Indeterminate	none	26
CYP2D6	*45	*105		Indeterminate	none	26
CYP2D6	*45	*106		Indeterminate	none	26
CYP2D6	*45	*107		Indeterminate	none	26
CYP2D6	*45	*108		Indeterminate	none	26
CYP2D6	*45	*109		Indeterminate	none	26
CYP2D6	*45	*110		Indeterminate	none	26
CYP2D6	*45	*111		Indeterminate	none	26
CYP2D6	*45	*112		Indeterminate	none	26
CYP2D6	*45	*113		Indeterminate	none	26
CYP2D6	*45	*114	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*115		Indeterminate	none	26
CYP2D6	*45	*116		Indeterminate	none	26
CYP2D6	*45	*117		Indeterminate	none	26
CYP2D6	*45	*118		Indeterminate	none	26
CYP2D6	*45	*119		Indeterminate	none	26
CYP2D6	*45	*120	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*121		Indeterminate	none	26
CYP2D6	*45	*122		Indeterminate	none	26
CYP2D6	*45	*123		Indeterminate	none	26
CYP2D6	*45	*124	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*125		Indeterminate	none	26
CYP2D6	*45	*126		Indeterminate	none	26
CYP2D6	*45	*127		Indeterminate	none	26
CYP2D6	*45	*128		Indeterminate	none	26
CYP2D6	*45	*129	1.0	Intermediate Metabolizer	Abnormal/Priority/High Risk	43
CYP2D6	*45	*130		Indeterminate	none	26
CYP2D6	*45	*131		Indeterminate	none	26
CYP2D6	*45	*132		Indeterminate	none	26
CYP2D6	*45	*133		Indeterminate	none	26
CYP2D6	*45	*134		Indeterminate	none	26
CYP2D6	*45	*135		Indeterminate	none	26
CYP2D6	*45	*136		Indeterminate	none	26
CYP2D6	*45	*137		Indeterminate	none	26
CYP2D6	*45	*138		Indeterminate	none	26
CYP2D6	*45	*139		Indeterminate	none	26
CYP2D6	*45x2	*45x2	4.0	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	30
CYP2D6	*45x2	*46	3.0	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	35
CYP2D6	*45x2	*47	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*45x2	*48	3.0	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	35
CYP2D6	*45x2	*49	2.5	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	37
CYP2D6	*45x2	*50	2.5	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	37
CYP2D6	*45x2	*51	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*45x2	*52		Indeterminate	none	26
CYP2D6	*45x2	*53	3.0	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	35
CYP2D6	*45x2	*54	2.5	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	37
CYP2D6	*45x2	*55	2.5	Ultrarapid Metabolizer	Abnormal/Priority/High Risk	37
CYP2D6	*45x2	*56	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
CYP2D6	*45x2	*57	2.0	Normal Metabolizer	Normal/Routine/ Low Risk	39
