Source	PAID	Summary	Gene	Drug	GeneID	DrugID	Phenotype	Recommendation	Alternate	Dosing
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 0	Avoid fluorouracil.}{NOTE: If a patient has two different genetic variations that lead to a non-functional DPD enzyme (e.g. *2A and* 13), this recommendation only applies if the variations are on a different allele. If both variations are on the same allele, this patient actually has gene activity score 1, for which no increased risk of severe, potentially fatal toxicity has been found with cutaneous use. These two situations can only be distinguished by determining the enzyme activity (phenotyping). This recommendation only applies if the patient has virtually no enzyme activity	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 0	1. Avoid fluorouracil and capecitabine. Tegafur is not an alternative, as this is also metabolised by DPD.}{2. If if is not possible to avoid fluorouracil and capecitabine: determine the residual DPD activity in mononuclear cells from peripheral blood and adjust the initial dose accordingly. A patient with 0.5% of the normal DPD activity tolerated 0.8% of the standard dose (150 mg capecitabine every 5 days). A patient with undetectable DPD activity tolerated 0.43% of the standard dose (150 mg capecitabine every 5 days with every third dose skipped).	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 1	Start with 50% of the standard dose or avoid fluorouracil and capecitabine. Adjustment of the subsequent dose should be guided by toxicity and effectiveness. However, in one study involving 17 patients with gene activity 1, the average dose after titration was 57% of the standard dose. Tegafur is not an alternative, as this is also metabolised by DPD.	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 1.5	Start with 50% of the standard dose or avoid fluorouracil and capecitabine. After starting treatment, the dose should be adjusted based on toxicity and effectiveness. In a study involving 17 patients with genotype 1/2846T, the average dose after titration was 64% of the standard dose. For 51 patients with genotype 1/1236A, the average dose after titration was 74% of the standard dose. Tegafur is not an alternative, as this is also metabolised by DPD.	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	FENO	It is not possible to recommend a dose adjustment for this patient based on the genotype only.}{Determine the residual DPD activity in mononuclear cells from peripheral blood and adjust the initial dose based on phenotype and genotype, or avoid fluorouracil and capecitabine. Tegafur is not an alternative, as this is also metabolized by DPD.	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 0	Choose an alternative.}{NOTE: If a patient has two different genetic variations that lead to a non-functional DPD enzyme (e.g. *2A and* 13), this recommendation only applies if the variations are on a different allele. If both variations are on the same allele, this patient has gene activity score 1, for which no increased risk of severe, potentially fatal toxicity has been found with cutaneous use. These two situations can only be distinguished by determining the enzyme activity (phenotyping).	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 0	1. Choose an alternative. Tegafur is not an alternative, as this is also metabolised by DPD.}{2. If an alternative is not possible: determine the residual DPD activity in mononuclear cells from peripheral blood and adjust the initial dose accordingly. A patient with 0.5% of the normal DPD activity tolerated 0.8% of the standard dose (150 mg capecitabine every 5 days). A patient with undetectable DPD activity tolerated 0.43% of the standard dose (150 mg capecitabine every 5 days with every third dose skipped). The average Caucasian DPD activity is 9.9 nmol/hour per mg protein. Or, adjust the initial dose based on toxicity and efficacy.}{NOTE: If a patient has two different genetic variations that lead to a non-functional DPD enzyme (e.g. *2A and *13), this recommendation only applies if the variations are on a different allele. If both variations are on the same allele, this patient has gene activity score 1 and the recommendation for that gene activity score should be followed. These two situations can only be distinguished by determining the enzyme activity (phenotyping).	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 0.5	Start with 25% of the standard dose or choose an alternative. Adjustment of the initial dose should be guided by toxicity and effectiveness. Tegafur is not an alternative, as this is also metabolised by DPD.}{NOTE: This recommendation only applies if the two genetic variations are on a different allele. If both variations are on the same allele, this patient has gene activity score 1 and the recommendation for that gene activity score should be followed. These two situations can only be distinguished by determining the enzyme activity (phenotyping).	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 1	Start with 50% of the standard dose or choose an alternative. Adjustment of the initial dose should be guided by toxicity and effectiveness. Tegafur is not an alternative, as this is also metabolised by DPD.}{NB1: The dose reduction described here is well substantiated for *1/*2A and 1236A/1236A. The dose reduction for patients with 2846T (2846T/2846T or 1236A/2846T) is based on, among other factors, the dose reductions identified for *1/2846T.}{NB2: If a patient has two different genetic variations that result in a partially functional DPD enzyme (e.g. 2846T and 1236A), this recommendation applies if the variations are on a different allele. If both variations are on the same allele, the gene activity score is between 1 and 1.5, depending on whether and how the two gene variations influence each other and on other factors that influence the DPD activity. Whether a gene activity score of 1 or 1.5 needs to be assigned in the case of two different genetic variations can only be determined by measuring the enzyme activity (phenotyping).	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	Activity Score 1.5	Start with 75% of the standard dose or choose an alternative. Adjustment of the initial dose should be guided by toxicity and effectiveness. Tegafur is not an alternative, as this is also metabolised by DPD.	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	PM (2 inactive alleles, 2 decreased activity alleles, or one inactive and one decreased activity alleles)	Select alterantive drug.  Tegafur is not a suitable alternative because this drug is also metabolized by DPD.	0	0
DPWG	PA166104939	"An alternative drug to fluorouracil is recommended for patients with a DPYD activity score of 0; if an alternative drug is not possible, the DPD activity should be determined and the initial dose adjusted accordingly. For patients with a DPYD activity score of 1 or 1.5, start with 50% of the standard dose or choose an alternative drug; adjustment of subsequent doses should be guided by toxicity and effectiveness. Patients with two partially functional alleles or one non-functional and one partially functional allele or two gene variants leading to partially functional alleles or a gene variant leading to a non-functional allele and a gene variant leading to a partially functional allele should have their DPD activity determined or should avoid fluorouracil/capecitabine. Tegafur is not an alternative for fluorouracil, as it is also metabolized by DPD. The DPWG evaluated DPYD genotyping as ""essential"" and recommend DPYD testing prior to initiating fluoropyrimidines."	DPYD	fluorouracil	5039	1390	IM (1 active allele and 1 inactive or decreased activity allele)	Reduce dose by 50% or select alternative drug.  Tegafur is not a suitable alternative because this drug is also a substrate for DPD.  Increase dose in response to toxicity and efficacy.	0	0
DPWG	PA166264881	Phenytoin should be avoided if possible in patients with the HLA-B*15:02 allele.	HLA-B	phenytoin	8015	2604	HLA-B*1502	Carefully weigh the risk of SJS/TEN against the benefits.}{Avoid phenytoin if an alternative is possible. Carbamazepine carries a 10-fold higher risk of SJS/TEN for these patients and is therefore not an alternative. A comparable risk has been reported for lamotrigine as for phenytoin. The same applies for oxcarbazepine, but the most severe forms (SJS/TEN overlap and TEN) are not observed with oxcarbazepine.}{If it is not possible to avoid this medication, then advise the patient to report any skin rash immediately	0	0
DPWG	PA166265421	Patients who are CYP3A4 poor metabolizers and being treated for depression should be given an alternative drug. Patients being treated for other indications and who are CYP3A4 poor metabolizers should be given a reduced dose of quetiapine. No action is needed for patients who are CYP3A4 intermediate metabolizers.	CYP3A4	quetiapine	4366	2788	CYP3A4 IM	NO action is needed for this gene-drug interaction.	0	0
DPWG	PA166265421	Patients who are CYP3A4 poor metabolizers and being treated for depression should be given an alternative drug. Patients being treated for other indications and who are CYP3A4 poor metabolizers should be given a reduced dose of quetiapine. No action is needed for patients who are CYP3A4 intermediate metabolizers.	CYP3A4	quetiapine	4366	2788	CYP3A4 PM	Indication DEPRESSION: choose an alternative.}{Aripiprazole appears to be less dependent on CYP3A4 for metabolism. Olanzapine is not metabolised by CYP3A4.}{OTHER INDICATIONS: use 30% of the standard dose.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	lansoprazole	4349	1790	CYP2C19 Ultrarapid metabolizer	Increase starting daily dose by 100%. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	lansoprazole	4349	1790	CYP2C19 Rapid metabolizer	Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	lansoprazole	4349	1790	CYP2C19 Normal metabolizer	Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	lansoprazole	4349	1790	CYP2C19 likely intermediate metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	lansoprazole	4349	1790	CYP2C19 intermediate metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	lansoprazole	4349	1790	CYP2C19 likely poor metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	lansoprazole	4349	1790	CYP2C19 poor metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	lansoprazole	4349	1790	Indeterminate	No recommendation	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	omeprazole	4349	2271	CYP2C19 Ultrarapid metabolizer	Increase starting daily dose by 100%. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	omeprazole	4349	2271	CYP2C19 Rapid metabolizer	Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	omeprazole	4349	2271	CYP2C19 Normal metabolizer	Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	omeprazole	4349	2271	CYP2C19 likely intermediate metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	omeprazole	4349	2271	CYP2C19 intermediate metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	omeprazole	4349	2271	CYP2C19 likely poor metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	omeprazole	4349	2271	CYP2C19 poor metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	omeprazole	4349	2271	Indeterminate	No recommendation	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	pantoprazole	4349	2503	CYP2C19 Ultrarapid metabolizer	Increase starting daily dose by 100%. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	pantoprazole	4349	2503	CYP2C19 Rapid metabolizer	Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	pantoprazole	4349	2503	CYP2C19 Normal metabolizer	Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.	0	0
CPIC	PA166219103	The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers in the treatment of H. pylori infection and erosive esophagitis increasing the dose might be considered after initiation with the standard starting daily dose. The recommendations for intermediate and poor metabolizer for chronic therapy (>12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.	CYP2C19	pantoprazole	4349	2503	CYP2C19 likely intermediate metabolizer	Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.	0	0
